Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
635,Lujan,AR,92.01,broken clouds,-34.5703,-59.105,Hotel Biarritz
636,Uige,AO,67.5,light rain,-7.6087,15.0613,Hotel Catraio
638,Bulawayo,ZW,67.17,clear sky,-20.15,28.5833,4 On Housman Backpackers
639,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
640,Eirunepe,BR,76.14,heavy intensity rain,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
641,Isla Mujeres,MX,84.25,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
642,Santa Vitoria,BR,86.16,few clouds,-18.8386,-50.1214,Center Hotel
646,Ballina,AU,67.01,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
647,Mongo,TD,84.4,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
650,Los Llanos De Aridane,ES,74.12,clear sky,28.6585,-17.9182,Valle Aridane
653,Joao Pinheiro,BR,85.03,scattered clouds,-17.7425,-46.1725,Hotel Santos
654,Cefalu,IT,70.54,clear sky,38.0386,14.0229,Hotel La Giara
655,Fraga,ES,70.63,overcast clouds,41.5229,0.3489,Hotel Casanova
656,Doha,QA,85.89,clear sky,25.2867,51.5333,Mövenpick Doha
658,Rio Grande,BR,82.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
659,La Macarena,CO,84.58,broken clouds,2.1837,-73.7849,Casa Hotel Real
661,Salta,AR,90.57,few clouds,-24.7859,-65.4117,Hotel Alejandro I
666,Inirida,CO,81.91,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
672,Iquitos,PE,75.24,very heavy rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
673,Tena,EC,69.96,moderate rain,-0.9833,-77.8167,Hostal Tena Ñaui
675,Antalaha,MG,68.2,clear sky,-14.9003,50.2788,Hotel Vitasoa
676,Ramotswa,BW,78.42,light rain,-24.8716,25.8699,Nako Guest House @ Ramotswa
680,Mogadishu,SO,77.23,moderate rain,2.0371,45.3438,Hotel Juba
681,Havelock,US,66.92,overcast clouds,34.8791,-76.9013,Sherwood Motel
682,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
689,Porbandar,IN,79.36,clear sky,21.6422,69.6093,Lords Inn Porbandar
690,Santa Isabel Do Rio Negro,BR,88.97,light rain,-0.4139,-65.0192,Hotel GSA
692,Pimentel,PE,68.29,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
695,Bodden Town,KY,87.8,scattered clouds,19.2833,-81.25,Will T Place
696,Puerto Concordia,CO,82.22,overcast clouds,2.6221,-72.7572,Hotel El Jardín
697,Ambanja,MG,73.58,light rain,-13.6833,48.45,Hotel Salama and Fast Food
698,Rincon,US,71.91,broken clouds,32.296,-81.2354,Days Inn Rincon
699,Alindao,CF,70.9,light rain,5.0267,21.2088,OCHA Alindao
700,Gweru,ZW,68.79,few clouds,-19.45,29.8167,Suskwe Lodges
701,Carnarvon,AU,66.51,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
702,Vila Do Maio,CV,83.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
705,Candido Mendes,BR,79.5,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
706,Mattru,SL,74.79,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
708,Porto Belo,BR,77.79,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
711,Moron,AR,91.15,overcast clouds,-34.6534,-58.6198,Hotel Morón
712,Kita,ML,81.05,few clouds,13.0349,-9.4895,Hôtel Chat Rouge
