Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
82,Villa Del Rosario,CO,80.98,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
84,Ankazoabo,MG,74.14,broken clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
86,Cape Town,ZA,67.26,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
87,Soyo,AO,78.37,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
90,Carutapera,BR,82.45,overcast clouds,-1.195,-46.02,Lidera
91,Buraydah,SA,73.85,clear sky,26.326,43.975,Mövenpick Qassim
92,Manono,CD,71.55,overcast clouds,-7.3,27.4167,Hotel hewa bora
93,Victoria,HK,76.32,clear sky,22.2855,114.1577,Mini Central
94,Ormond Beach,US,80.1,moderate rain,29.2858,-81.0559,Makai Beach Lodge
96,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
97,Kapoeta,SS,84.61,few clouds,4.7717,33.5903,Lokoges PHCC
100,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
101,Belmonte,BR,78.44,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
102,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
103,Kandi,BJ,77.99,few clouds,11.1342,2.9386,Hébergement de la Poste
104,Pesaro,IT,65.88,few clouds,43.9036,12.8903,Savoy
106,Altamira,BR,89.69,scattered clouds,-3.2033,-52.2064,Requinte Hotel
109,Acari,PE,75.56,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
111,Ormara,PK,78.49,scattered clouds,25.2088,64.6357,Kenara Colony House for Rent
113,Uruguaiana,BR,85.93,clear sky,-29.7547,-57.0883,Fares Turis Hotel
115,Axim,GH,78.26,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
116,Senador Jose Porfirio,BR,93.42,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
119,Georgetown,MY,79.23,few clouds,5.4112,100.3354,Cititel Penang
121,Komatipoort,ZA,70.05,broken clouds,-25.4332,31.9548,Kruger View Backpackers
122,Bolobo,CD,69.53,overcast clouds,-2.1667,16.2333,Hotel de Stephen
