Index,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Andreapol,RU,2022-10-28 20:20:57,56.6513,32.2664,46.38,97,100,6.91,overcast clouds
140,Ibb,YE,2022-10-28 20:20:16,13.9667,44.1833,61.25,78,1,2.37,clear sky
141,East London,ZA,2022-10-28 20:20:57,-33.0153,27.9116,63.37,75,100,17.69,overcast clouds
142,Saint-Joseph,RE,2022-10-28 20:20:58,-21.3667,55.6167,68.38,79,20,8.23,few clouds
143,Lokosovo,RU,2022-10-28 20:20:58,61.1333,74.8167,25.7,95,84,8.7,broken clouds
144,Manyoni,TZ,2022-10-28 20:20:58,-5.7467,34.8382,73.38,33,37,7.72,scattered clouds
145,Upata,VE,2022-10-28 20:20:59,8.0086,-62.3989,87.19,86,100,3.22,overcast clouds
146,Namibe,AO,2022-10-28 20:20:59,-15.1961,12.1522,69.75,81,52,1.54,broken clouds
147,Henties Bay,NA,2022-10-28 20:21:00,-22.116,14.2845,57.96,92,0,8.95,clear sky
148,Camopi,GF,2022-10-28 20:21:00,3.1655,-52.3158,84.34,63,99,3.74,overcast clouds
149,Saldanha,ZA,2022-10-28 20:21:01,-33.0117,17.9442,64.45,86,90,8.19,overcast clouds
150,Zanjan,IR,2022-10-28 20:21:01,36.6736,48.4787,52.38,78,61,8.52,broken clouds
151,Jos,NG,2022-10-28 20:21:01,9.9167,8.9,67.28,36,81,3.15,broken clouds
152,Port Elizabeth,ZA,2022-10-28 20:18:27,-33.918,25.5701,64.09,72,75,14.97,broken clouds
153,Inta,RU,2022-10-28 20:21:03,66.0317,60.1659,19.26,96,100,10.29,overcast clouds
154,Uppsala,SE,2022-10-28 20:19:18,60.0,17.75,53.11,100,100,6.91,overcast clouds
155,Klaksvik,FO,2022-10-28 20:21:04,62.2266,-6.589,50.92,92,100,22.3,light rain
156,Mitsamiouli,KM,2022-10-28 20:21:04,-11.3847,43.2844,76.33,82,6,11.01,clear sky
157,Arraial Do Cabo,BR,2022-10-28 20:21:05,-22.9661,-42.0278,80.56,69,0,8.05,light rain
158,Navalmoral De La Mata,ES,2022-10-28 20:21:06,39.8916,-5.5406,70.95,43,100,2.06,overcast clouds
159,Pangnirtung,CA,2022-10-28 20:21:07,66.1451,-65.7125,35.6,48,100,16.11,overcast clouds
160,Correntina,BR,2022-10-28 20:21:08,-13.3433,-44.6367,90.39,25,100,5.08,overcast clouds
161,Saint-Philippe,RE,2022-10-28 20:21:08,-21.3585,55.7679,69.39,80,16,9.95,few clouds
162,Thinadhoo,MV,2022-10-28 20:21:09,0.5333,72.9333,82.04,79,99,19.3,light rain
163,Georgiyevka,KZ,2022-10-28 20:21:09,43.0369,74.7114,33.84,100,0,6.71,clear sky
164,Oriximina,BR,2022-10-28 20:21:10,-1.7656,-55.8661,96.04,34,92,6.22,overcast clouds
165,Moyale,KE,2022-10-28 20:21:10,3.5167,39.0584,67.89,79,96,5.39,overcast clouds
166,La Tuque,CA,2022-10-28 20:21:11,47.4334,-72.7824,48.45,46,17,3.44,few clouds
167,Minab,IR,2022-10-28 20:21:11,27.1467,57.0801,79.12,83,100,0.0,overcast clouds
168,Bafata,GW,2022-10-28 20:21:12,12.1667,-14.75,82.72,68,100,3.42,overcast clouds
169,Vagur,FO,2022-10-28 20:21:13,61.4732,-6.8119,48.42,96,100,24.56,light rain
170,Aswan,EG,2022-10-28 20:21:13,24.0934,32.907,78.35,27,0,9.46,clear sky
171,Ancud,CL,2022-10-28 20:17:41,-41.8697,-73.8203,51.1,73,100,13.29,light rain
172,Lyubim,RU,2022-10-28 20:21:14,58.3625,40.6843,43.57,98,100,5.88,light rain
173,Nioro,GM,2022-10-28 20:21:15,13.35,-15.75,81.97,61,100,4.76,overcast clouds
174,San Cristobal,VE,2022-10-28 20:21:15,7.7669,-72.225,75.38,59,72,4.94,broken clouds
175,Marquette,US,2022-10-28 20:17:13,46.5333,-87.6335,57.78,43,6,10.54,clear sky
176,Qaqortoq,GL,2022-10-28 20:21:16,60.7167,-46.0333,37.24,99,100,7.34,moderate rain
177,Dingle,PH,2022-10-28 20:21:17,10.9995,122.6711,75.85,97,100,21.72,moderate rain
178,Hofn,IS,2022-10-28 20:21:17,64.2539,-15.2082,39.49,74,17,9.75,few clouds
179,Santa Cruz,BO,2022-10-28 20:21:18,-17.8,-63.1667,87.85,51,75,16.11,broken clouds
180,Port Shepstone,ZA,2022-10-28 20:21:18,-30.7414,30.455,66.31,71,100,8.75,overcast clouds
181,Marsh Harbour,BS,2022-10-28 20:21:19,26.5412,-77.0636,79.97,62,2,15.23,clear sky
182,Glazov,RU,2022-10-28 20:21:19,58.1394,52.6584,31.75,96,100,8.68,light snow
183,Angoche,MZ,2022-10-28 20:21:20,-16.2325,39.9086,76.6,82,0,11.54,clear sky
184,Mbanza-Ngungu,CD,2022-10-28 20:21:20,-5.25,14.8667,69.24,95,100,4.94,overcast clouds
185,Kassala,SD,2022-10-28 20:21:21,15.451,36.4,87.89,33,16,10.67,few clouds
186,Zurrieq,MT,2022-10-28 20:22:21,35.8311,14.4742,68.97,70,9,9.53,clear sky
187,Kuito,AO,2022-10-28 20:22:22,-12.3833,16.9333,63.16,83,99,4.97,light rain
188,Touros,BR,2022-10-28 20:22:22,-5.1989,-35.4608,79.68,74,78,15.23,broken clouds
189,Vila Franca Do Campo,PT,2022-10-28 20:22:23,37.7167,-25.4333,59.2,64,2,6.71,clear sky
190,Beloha,MG,2022-10-28 20:22:23,-25.1667,45.05,71.53,85,100,6.46,overcast clouds
191,Clarence Town,AU,2022-10-28 20:22:24,-32.5833,151.7833,62.85,64,0,9.15,clear sky
192,Maldonado,UY,2022-10-28 20:18:26,-34.6667,-54.9167,76.39,54,100,1.1,overcast clouds
193,Ituporanga,BR,2022-10-28 20:22:25,-27.4144,-49.6025,81.59,59,2,2.24,clear sky
194,Saint-Louis,SN,2022-10-28 20:22:25,16.3333,-15.0,96.22,15,5,6.87,clear sky
195,Comodoro Rivadavia,AR,2022-10-28 20:22:26,-45.8667,-67.5,62.46,17,40,39.12,scattered clouds
196,Rocha,UY,2022-10-28 20:22:26,-34.4833,-54.3333,78.8,55,37,12.39,scattered clouds
197,Sambava,MG,2022-10-28 20:22:27,-14.2667,50.1667,70.34,83,15,3.8,few clouds
198,Andilamena,MG,2022-10-28 20:22:27,-17.0167,48.5833,60.84,95,34,3.15,scattered clouds
199,Kuryk,KZ,2022-10-28 20:22:28,43.2,51.65,55.9,71,99,8.41,overcast clouds
200,Hithadhoo,MV,2022-10-28 20:22:28,-0.6,73.0833,81.82,79,100,19.51,overcast clouds
201,Atbasar,KZ,2022-10-28 20:22:28,51.8,68.3333,22.91,87,98,4.7,overcast clouds
202,Alta Floresta,BR,2022-10-28 20:22:29,-9.8756,-56.0861,89.42,58,40,8.05,scattered clouds
203,Vikravandi,IN,2022-10-28 20:22:29,12.0333,79.55,73.98,86,92,6.22,overcast clouds
204,Aksarka,RU,2022-10-28 20:22:30,66.5606,67.7975,21.97,81,5,15.5,clear sky
205,Imbituba,BR,2022-10-28 20:22:30,-28.24,-48.6703,72.82,79,0,10.54,clear sky
206,Grand Gaube,MU,2022-10-28 20:22:31,-20.0064,57.6608,74.37,71,73,1.01,broken clouds
207,Kaka,TM,2022-10-28 20:22:32,37.3482,59.6143,61.54,41,13,2.86,few clouds
208,Najran,SA,2022-10-28 20:20:55,17.4924,44.1277,65.05,26,7,1.39,clear sky
209,Tazovskiy,RU,2022-10-28 20:22:32,67.4667,78.7,21.38,93,83,15.86,broken clouds
210,Nhlangano,SZ,2022-10-28 20:22:33,-27.1167,31.2,54.68,84,7,2.98,clear sky
211,Guarapari,BR,2022-10-28 20:22:33,-20.6667,-40.4975,78.89,81,3,17.31,clear sky
212,Xai-Xai,MZ,2022-10-28 20:22:34,-25.0519,33.6442,71.6,82,62,13.53,light rain
213,Khuzdar,PK,2022-10-28 20:22:34,27.7384,66.6434,67.51,17,100,3.69,overcast clouds
214,Oleksandrivka,UA,2022-10-28 20:22:35,48.9634,32.2349,49.23,81,100,6.02,overcast clouds
215,La Labor,HN,2022-10-28 20:22:35,14.4833,-89.0,85.62,40,5,4.12,clear sky
216,Husavik,IS,2022-10-28 20:22:36,66.0449,-17.3389,29.34,85,87,12.73,overcast clouds
217,Turayf,SA,2022-10-28 20:22:36,31.6725,38.6637,66.45,48,0,6.91,clear sky
218,Hamilton,US,2022-10-28 20:20:21,39.1834,-84.5333,69.64,44,0,8.05,clear sky
219,Bridlington,GB,2022-10-28 20:22:37,54.0831,-0.1919,55.02,83,74,3.0,broken clouds
220,Icatu,BR,2022-10-28 20:22:37,-2.7758,-44.0658,88.23,66,53,13.71,light rain
221,Aripuana,BR,2022-10-28 20:22:38,-9.1667,-60.6333,79.72,84,99,5.59,overcast clouds
222,Uni,RU,2022-10-28 20:22:38,57.7535,51.4923,29.01,95,82,9.22,broken clouds
223,Jesup,US,2022-10-28 20:19:51,31.6074,-81.8854,79.34,50,0,5.75,clear sky
224,Belgorod,RU,2022-10-28 20:22:39,50.61,36.58,47.03,93,75,4.47,broken clouds
